167. TOKOHA  [Transfer God]    [プラサカプコン新居浜店@愛媛県@四国] Score: 1551786682 
481. KUROGANE  [バーニングフォースマスター]    [タイトーステーション衣山店@愛媛県@四国] Score: 1328758189 
499. NORANEKO  [歌って踊れるゲーマーアイドル]    [セガ松山@愛媛県@四国] Score: 1320104077 
541. COMPILE  [みっくみくにしてやんよ～！]    [セガ松山@愛媛県@四国] Score: 1286834460 
669. seki4ta  [OMAKENO Daiou]    [楽市楽座　イオンモール今治店@愛媛県@四国] Score: 1197107831 
704. KATYO*  [お嬢様]    [セガ松山@愛媛県@四国] Score: 1178567034 
903. ZARRY  [神霊「夢想封印 瞬」]    [プラサカプコン新居浜店@愛媛県@四国] Score: 1078657361 
973. BAviiiso  [GROOVER]    [ラウンドワン松山店@愛媛県@四国] Score: 1038898483 
1000. URS  [メイド秘技「殺人ドール」]    [プラサカプコン新居浜店@愛媛県@四国] Score: 1022652939 
