206. YUUTO***  [ろくでなし先生]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1555383053 
255. uit  [つらい]    [セガワールド高山@岐阜県@東海] Score: 1528423057 
380. Jacky  [お断リンカちゃん]    [岐阜レジャーランド　穂積店@岐阜県@東海] Score: 1442637005 
403. ORIYAN  [えんがちょマスター]    [岐阜レジャーランド　穂積店@岐阜県@東海] Score: 1420399384 
541. CHOMOKO  [しんどい]    [セガワールド多治見@岐阜県@東海] Score: 1302475632 
651. ITODA  [そんなんARIKA]    [オリエンタルバッティング可児店@岐阜県@東海] Score: 1223815733 
704. O-YA  [岐阜勢]    [セガワールドアクアウォーク大垣@岐阜県@東海] Score: 1197851351 
733. NAKAHITO  [しんどい]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1185388100 
738. Na-Nya**  [無理]    [ゲームハウス　アリババ@岐阜県@東海] Score: 1182225775 
