2. K.I.  [GLITHCRE GOD]    [スターダスト@岡山県@中国] Score: 1658000000 
167. YUKKE_GS  [GROOVER]    [アミパラ岡山店@岡山県@中国] Score: 1605672121 
292. sielo89  [CAPTAIN CELEBRATE]    [ファンタジスタ@岡山県@中国] Score: 1530159459 
385. Yu-ki  [アイエエエエエ！]    [アミパラ津山店@岡山県@中国] Score: 1455846977 
475. NEB  [リヴァイアサン]    [セガイオンモール岡山@岡山県@中国] Score: 1390189766 
665. MASAKAZU  [不可能を無にする者]    [スターダスト@岡山県@中国] Score: 1239623980 
778. RIC  [STORM CAUSER]    [ファンタジスタ@岡山県@中国] Score: 1177823379 
930. eden!  [吉備団子]    [ユーズランド倉敷店@岡山県@中国] Score: 1098325830 
976. Yuki  [死欲の半霊]    [アミパラテクノランド店@岡山県@中国] Score: 1072946010 
