212. YUUTO***  [ろくでなし先生]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1628760282 
298. uit  [しんどい]    [セガワールド高山@岐阜県@東海] Score: 1563408863 
387. ORIYAN  [えんがちょマスター]    [ゲームハウス　アリババ@岐阜県@東海] Score: 1490448017 
461. Jacky  [お断リンカちゃん]    [Ａ．Ｃ．グランド@岐阜県@東海] Score: 1430848136 
470. Skeleton  [岐阜勢]    [Ａ．Ｃ．グランド@岐阜県@東海] Score: 1425112308 
532. CHOMOKO  [infinity]    [セガワールド多治見@岐阜県@東海] Score: 1363883755 
691. NAKAHITO  [変なTシャツヤロー]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1250487834 
711. Na-Nya**  [魔奴化]    [ゲームハウス　アリババ@岐阜県@東海] Score: 1238891845 
749. ITODA  [そんなんARIKA]    [Ａ．Ｃ．グランド@岐阜県@東海] Score: 1215684446 
796. O-YA  [岐阜勢]    [セガワールドアクアウォーク大垣@岐阜県@東海] Score: 1190218654 
