2. K.I.  [GLITHCRE GOD]    [アミパラテクノランド店@岡山県@中国] Score: 1652000000 
49. SKYMAN  [名も無い幼い神]    [スターダスト@岡山県@中国] Score: 1643989661 
184. YUKKE_GS  [GROOVER]    [スターダスト@岡山県@中国] Score: 1594992042 
382. Yu-ki  [アイエエエエエ！]    [アミパラ津山店@岡山県@中国] Score: 1455846977 
468. NEB  [リヴァイアサン]    [セガイオンモール岡山@岡山県@中国] Score: 1390189766 
657. MASAKAZU  [不可能を無にする者]    [スターダスト@岡山県@中国] Score: 1239623980 
774. RIC  [STORM CAUSER]    [ファンタジスタ@岡山県@中国] Score: 1175827844 
930. eden!  [吉備団子]    [ユーズランド倉敷店@岡山県@中国] Score: 1095356670 
964. Yuki  [死欲の半霊]    [アミパラテクノランド店@岡山県@中国] Score: 1072946010 
