48. K.x*N3  [God recover run]    [ＯＫ－コーラル@新潟県@信越] Score: 1685544171 
54. /*nYa  [I love "そして誰もいなくなった"]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1684385759 
68. Uetsu  [大阪神]    [メジャーゲーム館@新潟県@信越] Score: 1681621381 
87. TUXEDO.R  [駆け出し]    [メジャーロード黒埼店@新潟県@信越] Score: 1677833245 
108. IIBOU  [七色の歌姫]    [アピナ上越インター店@新潟県@信越] Score: 1672063188 
261. RLya  [メリークルシミマス！]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1587067866 
293. IMAE  [名も無い幼い神]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1560712160 
310. 10-LL*  [GHOST]    [メジャーゲーム館@新潟県@信越] Score: 1552353521 
368. JAMOJI  [メリークルシミマス！]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1500120271 
389. Re***  [SATURN]    [プレイランド長岡店@新潟県@信越] Score: 1485240639 
427. unagi  [両生類の神様]    [メジャーロード白根店@新潟県@信越] Score: 1451765225 
466. Kero  [落ち着きなさNo.1]    [ラウンドワン新潟店@新潟県@信越] Score: 1421806109 
611. KOUXT  [MikuRinGod]    [メジャーロード黒埼店@新潟県@信越] Score: 1306385169 
625. NODOKA  [RinLenGod]    [ＡＭパーク宝島十日町店@新潟県@信越] Score: 1292613934 
634. Nagisa  [infinity]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1285044232 
658. KEITA_KU  [ふたつのARIA]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1269860647 
677. Kouhei  [God of Warrior]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1259232382 
762. HATHUNE  [conflict king]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1204505589 
810. banal  [ニャスニャス！]    [上越レジャーランボウル@新潟県@信越] Score: 1178398786 
833. SAKU*  [ouroboros god]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1168620830 
884. FeeT  [団子を食べる程に強くなる女王]    [ソユーゲームフィールド新発田店@新潟県@信越] Score: 1141629955 
930. gatta  [小さな百鬼夜行]    [カプコサーカス新潟東店@新潟県@信越] Score: 1118937516 
940. Nonnnn**  [星条旗の女神]    [ｎａｍｃｏシルクドゥガリバー店@新潟県@信越] Score: 1114064769 
998. Y.  [GOD]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1079259968 
