1. marirui  [ouroboros god]    [ポート２４御津@愛知県@東海] Score: 1612000000 
2. newxh  [Don't stop funky music!]    [タイトーステーション所沢店@埼玉県@関東] Score: 1612000000 
3. K.I.  [カーナビ神]    [アミパラテクノランド店@岡山県@中国] Score: 1612000000 
4. KEI  [エストポリス神]    [ラッキー八千代店@千葉県@関東] Score: 1611988688 
5. TyonTa  [草の根妖怪ネットワーク]    [タイトーイン綾瀬@東京都@関東] Score: 1611942119 
6. zoroakun  [小夜ちゃん女王]    [ｎａｍｃｏロブレ小山店@栃木県@関東] Score: 1611929281 
7. HIHIME  [朱雀]    [タイトーステーション大阪日本橋@大阪府@近畿] Score: 1611881060 
8. WARNING  [WARNING!!]    [ラウンドワン岸和田店@大阪府@近畿] Score: 1611849225 
9. Megumin  [絶対思想啓蒙局神]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1611722110 
10. pillow  [年中イキっていこう～]    [ＡＭパーク　ネバーランド２@神奈川県@関東] Score: 1611511315 
11. ERION+++  [PLUTO]    [タイトーララスクエア宇都宮店@栃木県@関東] Score: 1611469651 
12. Hirojixi  [夢現神]    [名古屋レジャーランドささしま店@愛知県@東海] Score: 1611428024 
13. Shisa  [残酷な神]    [セガ霞ヶ浦@茨城県@関東] Score: 1611394656 
14. Hazuneko  [現実逃避神]    [TOM'S(TAICHUNG CINCIN)@Taiwan@海外] Score: 1611326788 
15. B  [HG魔改造ポリビニル神]    [セガ安城@愛知県@東海] Score: 1611316468 
16. L.pis*YY  [QLWAGOD]    [ＴＡＣ郡山@福島県@東北] Score: 1611002217 
17. mikan?  [Marry me, God]    [ラウンドワン青森店@青森県@東北] Score: 1610747269 
18. SENSOR  [TANO*C GOD]    [タイトーステーション所沢店@埼玉県@関東] Score: 1610724368 
19. LUCA  [竹林のルーガルー]    [タイトーステーション町田店@東京都@関東] Score: 1610522972 
20. PoCkRo.B  [I love "ようこそジャパリパークへ"]    [プレイロットジョイ@東京都@関東] Score: 1610375717 
21. SofLan  [ダークコンヒューマン]    [タイトーステーション浅草店@東京都@関東] Score: 1610091872 
