2. K.I.  [GLITHCRE GOD]    [セガイオンモール岡山@岡山県@中国] Score: 1643000000 
23. SKYMAN  [名も無い幼い神]    [スターダスト@岡山県@中国] Score: 1640989661 
172. YUKKE_GS  [GROOVER]    [スターダスト@岡山県@中国] Score: 1592105372 
382. Yu-ki  [アイエエエエエ！]    [アミパラ津山店@岡山県@中国] Score: 1453035957 
464. NEB  [リヴァイアサン]    [セガイオンモール岡山@岡山県@中国] Score: 1389208176 
655. MASAKAZU  [不可能を無にする者]    [スターダスト@岡山県@中国] Score: 1236676115 
772. RIC  [STORM CAUSER]    [ファンタジスタ@岡山県@中国] Score: 1174929209 
926. eden!  [吉備団子]    [ユーズランド倉敷店@岡山県@中国] Score: 1095356670 
959. Yuki  [死欲の半霊]    [アミパラテクノランド店@岡山県@中国] Score: 1072946010 
