63. Y*xx-!?  [栃木勢]    [開放倉庫　米原店@滋賀県@近畿] Score: 1677509368 
64. /*nYa  [I love "そして誰もいなくなった"]    [ｎａｍｃｏシルクドゥガリバー店@新潟県@信越] Score: 1677397422 
65. antisan  [究極進化！]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1677325066 
66. Koton@ri  [みんなのアイドル]    [セガワールド長崎ココウォーク@長崎県@九州] Score: 1677254776 
67. TaNiTi  [I love "Black MInD"]    [タイトーステーション広島紙屋町@広島県@中国] Score: 1677134639 
68. pillow  [「Remember」]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1676640925 
69. 9_tan*40  [Miraculous God]    [ラウンドワン仙台苦竹店@宮城県@東北] Score: 1676286918 
70. CROW  [無理]    [タイトーステーション立川北口店@東京都@関東] Score: 1676266138 
71. *Gamer*  [HARDCORE SYNDROME]    [タイトーステーション池袋西口店@東京都@関東] Score: 1676067289 
72. CloudyB.  [真・千溝段]    [ATTACK GAME CENTER@Korea@海外] Score: 1675929352 
73. FUJIN  [AM貴族　すたどんたん女神]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1675816793 
74. SHUU  [にやリンカちゃん]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1675577007 
75. LEOPARD6  [練習中]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1675501226 
76. ChanM@ru  [石川勢]    [タイトーステーション秋葉原店@東京都@関東] Score: 1674944665 
77. Ryukl*  [God a pain cover?]    [セガ赤羽@東京都@関東] Score: 1674487750 
78. FRED  [I love "しわ"]    [アピナ伊那店@長野県@信越] Score: 1674461003 
79. SEA+EX  [鵺]    [SMART GAME(WAN CHAI)@Hong Kong@海外] Score: 1673682758 
80. KURI_ZZZ  [「幼女の世界」]    [アピナ松本店@長野県@信越] Score: 1673657516 
81. ICENON*  [God hive of Ra]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1673280523 
82. 2CYR  [永遠に紅い幼き月]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1672963150 
83. M2*NI53  [導きのARIA]    [タイトーステーション大須店@愛知県@東海] Score: 1672603562 
84. FIEL  [LINK GOD]    [スペースファンタジーインフィニ@青森県@東北] Score: 1672599526 
85. TUXEDO.R  [駆け出し]    [ラウンドワン新潟店@新潟県@信越] Score: 1672594689 
86. Xuzuo  [Detonator God]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1672468518 
87. HIKARU  [GOD OF REVIVAL]    [タイトーステーション大須店@愛知県@東海] Score: 1672238258 
88. 9*cM  [デュラハン]    [ファミリーゲームフィールド防府@山口県@中国] Score: 1672172940 
89. natsume.  [I love "SPARKLING FUTURE"]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1672079809 
90. IIBOU  [一番星☆☆☆]    [アピナ上越インター店@新潟県@信越] Score: 1671986203 
91. P-KANA*  [尊い・・・]    [ラウンドワン草加店@埼玉県@関東] Score: 1670378639 
92. Yuly7188  [LINK PERFECT]    [サンアミューズ鹿屋@鹿児島県@九州] Score: 1669933150 
93. Yahiko*  [七福神]    [ＡＭパークジアス上大岡@神奈川県@関東] Score: 1669493838 
94. HITACHI  [旧渋谷神]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1669097264 
95. 9M@NO3  [静岡勢]    [タイトーステーション立川北口店@東京都@関東] Score: 1668885104 
96. Y.G.insa  [アークエンジェル]    [タイトーフジグラン北島店@徳島県@四国] Score: 1667427547 
97. KUPU  [W.W.G]    [タイトーステーション弥富店@愛知県@東海] Score: 1667253350 
98. GUEST  [GROOVER]    [群馬レジャーランド伊勢崎店@群馬県@関東] Score: 1667196531 
99. NEO+ex  [獏]    [ＣＬＵＢＳＥＧＡ秋葉原新館@東京都@関東] Score: 1666784292 
100. Yakumo  [みくみく女神♪]    [タイトーアミュプラザおおいた店@大分県@九州] Score: 1665940297 
********************************************************************************************
101. LEPHIA  [LINK PERFECT]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1665928195 
102. TyonTa  [金属バット先生]    [タイトーイン綾瀬@東京都@関東] Score: 1665894863 
103. NORIp  [パンダ神]    [スーパーノバ天童@山形県@東北] Score: 1665511687 
104. KYONKO  [LINK PERFECT]    [TOM'S(DREAM MALL)@Taiwan@海外] Score: 1665340209 
105. A.S.HERO  [無理]    [STARMU GAME CENTER@Korea@海外] Score: 1665292676 
106. N4ken@Bs  [旅人]    [タイトーフジグラン北島店@徳島県@四国] Score: 1665262329 
107. chris  [Detonator God]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1664588491 
108. Shin  [GOD OF REVIVAL]    [セガ霞ヶ浦@茨城県@関東] Score: 1663775872 
109. Hei*  [God of Moon]    [AMERICAN POOL@Hong Kong@海外] Score: 1663364970 
110. SNK  [全都道府県完全制覇]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1662829816 
111. VERDURE  [一万年と二千年前から神]    [ARCADE1@Korea@海外] Score: 1661945734 
112. tope-kon  [NEPTUNE]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1661819912 
113. Sasuke  [┌[・ ・]┘god]    [ビッグバン釧路@北海道@北海道] Score: 1661638406 
114. BLAZE  [Blaze King]    [セガ赤羽@東京都@関東] Score: 1661547328 
115. Yuuki  [DullaGoddess]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1661266532 
116. KANI  [ちょっぴりセクシー]    [セガ水戸@茨城県@関東] Score: 1660936468 
117. Nera  [弱虫神]    [タイトーステーション所沢店@埼玉県@関東] Score: 1660611883 
118. HORIZON  [Ｓ＋級紅茶]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1660588694 
119. Mavis.V  [水中だと力が増す人魚]    [ファンタジーパーク@栃木県@関東] Score: 1660565303 
120. GIL  [グルーヴ百段]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1660482815 
