30. K.x*N3  [God recover run]    [ＯＫ－コーラル@新潟県@信越] Score: 1621111625 
37. /*nYa  [緑眼のジェラシー]    [メジャーゲーム館@新潟県@信越] Score: 1620075805 
70. Mavis.V  [PRINCESS]    [カプコサーカス新潟東店@新潟県@信越] Score: 1612850976 
97. TUXEDO.R  [駆け出し]    [メジャーロード黒埼店@新潟県@信越] Score: 1605349333 
101. IIBOU  [I love "APELIOTES"]    [タイトーＦステーション上越店@新潟県@信越] Score: 1604668383 
145. RLya  [メリークルシミマス！]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1586005008 
237. 10-LL*  [OMAKENO Kamisama]    [メジャーロード黒埼店@新潟県@信越] Score: 1541353521 
297. IMAE  [I love "骸骨楽団とリリア"]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1503256901 
323. JAMOJI  [零式神]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1485650974 
368. Re***  [しんどい]    [アピナ長岡店@新潟県@信越] Score: 1449000539 
385. unagi  [(ﾟ∀ﾟ)o彡゜ごっど！ごっど！]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1440732786 
458. Kero  [落ち着きなさNo.1]    [ラウンドワン新潟店@新潟県@信越] Score: 1377388235 
526. KOUXT  [MikuRinGod]    [メジャーロード黒埼店@新潟県@信越] Score: 1314634794 
628. KEITA_KU  [しんどい]    [メジャーゲーム館@新潟県@信越] Score: 1240149025 
811. HATHUNE  [morning god]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1150823935 
845. banal  [ニャスニャス！]    [上越レジャーランボウル@新潟県@信越] Score: 1130806529 
860. FeeT  [無彩色大王]    [ｎａｍｃｏシルクドゥガリバー店@新潟県@信越] Score: 1123061478 
880. Nonnnn**  [無彩色神]    [ｎａｍｃｏシルクドゥガリバー店@新潟県@信越] Score: 1108393345 
909. gatta  [小さな百鬼夜行]    [カプコサーカス新潟東店@新潟県@信越] Score: 1094322812 
948. Y.  [つらい]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1067495828 
