107. Yuly7188  [天下無双]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1673205108 
111. HITACHI  [広島勢]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1672487495 
132. Makaru.G  [GOD]    [マンガ倉庫　鹿児島店@鹿児島県@九州] Score: 1662128721 
154. ZONE  [FEB, 2018 TOP RANKER]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1651900112 
156. NIS@  [LRLRABAB神]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1651832445 
200. G.urakaM  [真・初段]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1632570691 
646. necco*  [INFINITY]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1280214901 
827. BIGaaaaa  [King of groove frontier.]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1171629294 
980. WINGS  [ヤマビコ神]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1093218522 
