47. Shikyo  [緑眼のジェラシー]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1665349710 
81. Sasuke  [┌[・ ・]┘god]    [タイトーイオンモール釧路昭和店@北海道@北海道] Score: 1657519102 
86. LEE  [真・六段]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1656779348 
97. chris  [Detonator God]    [キャッツアイ新札幌店@北海道@北海道] Score: 1654618323 
160. cycla.  [I love "二息歩行"]    [キャッツアイ新札幌店@北海道@北海道] Score: 1623838329 
206. Rinne!?  [期待の新人]    [プラボ札幌西町店@北海道@北海道] Score: 1602492014 
269. Tokky  [MY FIRST GOD]    [ラウンドワン札幌すすきの店@北海道@北海道] Score: 1562702135 
299. CHIK.WAV  [七福神]    [ディノスパーク苫小牧店@北海道@北海道] Score: 1541432452 
301. BIS(9)  [すっごーい！]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1539732371 
319. SCP-106  [無理]    [キャッツアイ篠路店@北海道@北海道] Score: 1527041027 
323. Yui.  [右肩の神]    [ラウンドワン函館店@北海道@北海道] Score: 1525317399 
341. COACH  [旅人]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1507233555 
345. TKK  [無理]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1499457770 
349. +HAKASE+  [ルーキー]    [ラウンドワン函館店@北海道@北海道] Score: 1498376428 
374. Ayahi  [I love "Five to Seven"]    [キャッツアイ麻生店@北海道@北海道] Score: 1481535040 
418. Syu  [Ever Free God]    [ギャラクシーゲート函館@北海道@北海道] Score: 1443483140 
451. Toma9/  [無彩色神]    [ビッグバン釧路@北海道@北海道] Score: 1417340561 
504. AYATAKA  [GROOVER]    [キャッツアイ手稲店@北海道@北海道] Score: 1368953287 
516. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1360044382 
580. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1307740475 
607. Kamui.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1289538683 
625. tzw10430  [GROOVER]    [キャッツアイ新札幌店@北海道@北海道] Score: 1277904680 
657. KUROBARA  [神術「吸血鬼幻想」]    [キャッツアイ麻生店@北海道@北海道] Score: 1256887431 
689. SHINDEN  [東京勢]    [プラボ札幌西町店@北海道@北海道] Score: 1234823976 
703. NAZO-J.I  [GREAT THING]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1227067281 
720. Oriens  [JAN, 2018 TOP RANKER]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1217984601 
851. Shivaty  [railgun god]    [ギャラクシーゲート函館@北海道@北海道] Score: 1150518966 
854. KANONE  [正体不明の男]    [ギャラクシーゲート函館@北海道@北海道] Score: 1148219664 
863. BOLUX  [つらい]    [ディノスパーク札幌手稲@北海道@北海道] Score: 1142630726 
866. Jibri-l*  [純情可憐な女の子]    [キャッツアイ麻生店@北海道@北海道] Score: 1140713823 
886. momonoke  [りんご]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1132203210 
906. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1119215490 
932. ++CaL+/  [Ｓ＋級からあげ]    [アドアーズ狸小路@北海道@北海道] Score: 1104642479 
935. Bump  [サドマミゴッド]    [キャッツアイ麻生店@北海道@北海道] Score: 1102914830 
941. MoyaC.  [世界で一番宇宙で銀河]    [ギャラクシーゲート函館@北海道@北海道] Score: 1100109720 
947. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1098548622 
972. KLESS  [I love "魔法少女幸福論"]    [ラウンドワン札幌北２１条店@北海道@北海道] Score: 1088880857 
998. S@KRAMnT  [真・一億段]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1067696731 
