120. tope-kon  [歌って踊れるゲーマーアイドル]    [ラウンドワン盛岡店@岩手県@東北] Score: 1685601466 
274. AIR4545K  [ほら すぐ キメるぜ！]    [セガ水沢@岩手県@東北] Score: 1593212635 
330. NAO  [FEVER! FEVER! FEVER!]    [さんさんらんど大船渡@岩手県@東北] Score: 1550372948 
410. NULLPE  [練習中]    [ゲームランド盛岡店@岩手県@東北] Score: 1485736625 
490. arx-8  [「なんで？？？」]    [ソユーゲームフィールド盛岡南店@岩手県@東北] Score: 1414625742 
528. Jun  [GOD]    [ＢＩＮＧＯ一関@岩手県@東北] Score: 1382133000 
555. SU-3*  [OMAKENO Kamisama]    [みらい夢　津志田店@岩手県@東北] Score: 1354007491 
790. KC_puz7  [タイトーLOVE]    [ゲームランド　サンキング水沢店@岩手県@東北] Score: 1199396451 
965. K.456  [Collapse God]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1107857379 
