224. YUUTO***  [ろくでなし先生]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1502439052 
252. uit  [I Love 格ゲー]    [セガワールド高山@岐阜県@東海] Score: 1487987129 
256. tsuccho  [ドウニデモ＝ナ＝レ(76)]    [大垣メトロポリス@岐阜県@東海] Score: 1485466975 
427. ORIYAN  [えんがちょマスター]    [ゲームハウス　アリババ@岐阜県@東海] Score: 1358913309 
550. CHOMOKO  [I love "SPACE INVADERS 2003"]    [セガワールド多治見@岐阜県@東海] Score: 1257425842 
625. O-YA  [岐阜勢]    [セガワールドアクアウォーク大垣@岐阜県@東海] Score: 1206415394 
755. Na-Nya**  [□△×○先生]    [ゲームハウス　アリババ@岐阜県@東海] Score: 1144529410 
800. ishimine  [STORM CAUSER]    [セガワールド高山@岐阜県@東海] Score: 1116278332 
825. NAKAHITO  [変なTシャツヤロー]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1102665396 
