3. K.I.  [ouroboros god]    [スターダスト@岡山県@中国] Score: 1609000000 
17. SKYMAN  [なにもかも逆さまな女神]    [スターダスト@岡山県@中国] Score: 1607009876 
178. YUKKE_GS  [GROOVER]    [アミパラ岡山店@岡山県@中国] Score: 1557931388 
397. Yu-ki  [竹林のルーガルー]    [アミパラ津山店@岡山県@中国] Score: 1414590011 
445. Takaha*C  [Sunglow God]    [アミパラテクノランド店@岡山県@中国] Score: 1370329221 
672. MASAKAZU  [不可能を無にする者]    [アミパラテクノランド店@岡山県@中国] Score: 1201194089 
712. RIC  [STORM CAUSER]    [ファンタジスタ@岡山県@中国] Score: 1183523047 
871. eden!  [GOD]    [ユーズランド倉敷店@岡山県@中国] Score: 1104347978 
913. Yuki  [死欲の半霊]    [アミパラテクノランド店@岡山県@中国] Score: 1078923038 
