215. YUUTO***  [ろくでなし先生]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1524331642 
216. tsuccho  [夢に向かって飛び立て！]    [Ａ．Ｃ．グランド@岐阜県@東海] Score: 1524012166 
257. uit  [バジリスク]    [セガワールド高山@岐阜県@東海] Score: 1502078505 
422. ORIYAN  [えんがちょマスター]    [岐阜レジャーランド　穂積店@岐阜県@東海] Score: 1383347794 
550. CHOMOKO  [TAITO GAME MASTER]    [セガワールド多治見@岐阜県@東海] Score: 1278082008 
644. CHEN.  [バーカバーカ！]    [オアシス本店@岐阜県@東海] Score: 1208805769 
662. O-YA  [岐阜勢]    [セガワールドアクアウォーク大垣@岐阜県@東海] Score: 1197851351 
747. Na-Nya**  [I love "Weave Detonator"]    [ゲームハウス　アリババ@岐阜県@東海] Score: 1161314075 
766. ishimine  [STORM CAUSER]    [セガワールド高山@岐阜県@東海] Score: 1152105413 
802. NAKAHITO  [変なTシャツヤロー]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1135030337 
